cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
231.8,0,121.6,0,0,0,0,174,6.7,1056.4,778.5,0,100,45.84,0,353.4,0.492359931
251.4,0,118.3,0,0,0,0,188.5,5.8,1028.4,757.7,0,3,17.22,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,5.8,1028.4,757.7,0,14,29.93,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,5.8,1028.4,757.7,0,28,29.65,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,5.8,1028.4,757.7,0,56,36.97,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,5.8,1028.4,757.7,0,100,43.58,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,6.4,1028.4,757.7,0,3,13.12,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,6.4,1028.4,757.7,0,14,24.43,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,6.4,1028.4,757.7,0,28,32.66,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,6.4,1028.4,757.7,0,56,36.64,0,369.7,0.509872869
251.4,0,118.3,0,0,0,0,188.5,6.4,1028.4,757.7,0,100,44.21,0,369.7,0.509872869
181.4,0,167,0,0,0,0,169.6,7.6,1055.6,777.8,0,3,13.62,0,348.4,0.486796784
181.4,0,167,0,0,0,0,169.6,7.6,1055.6,777.8,0,14,21.6,0,348.4,0.486796784
181.4,0,167,0,0,0,0,169.6,7.6,1055.6,777.8,0,28,27.77,0,348.4,0.486796784
181.4,0,167,0,0,0,0,169.6,7.6,1055.6,777.8,0,56,35.57,0,348.4,0.486796784
181.4,0,167,0,0,0,0,169.6,7.6,1055.6,777.8,0,100,45.37,0,348.4,0.486796784
